 sig=    1.000000000000000     
 dt=   1.0000000000000001E-009
 steps=      1000000
 x0=   0.1400000000000000         1.396200000000000      
    9.593700000000000     
 u=    50000.00000000000     
 v_perp=    800000.0000000000     
 
istep         r       z        zeta
     100    8.8464860483E-01    1.8561088538E-01    9.5991603041E+00
     200    8.8506911991E-01    1.8708168736E-01    9.6048699219E+00
     300    8.8549597018E-01    1.8857526569E-01    9.6107753101E+00
     400    8.8592945469E-01    1.9009163725E-01    9.6168770975E+00
     500    8.8636988651E-01    1.9163081563E-01    9.6231759028E+00
     600    8.8681759279E-01    1.9319281089E-01    9.6296723340E+00
     700    8.8727291470E-01    1.9477762935E-01    9.6363669874E+00
     800    8.8773620744E-01    1.9638527339E-01    9.6432604464E+00
     900    8.8820784022E-01    1.9801574121E-01    9.6503532808E+00
    1000    8.8868819626E-01    1.9966902665E-01    9.6576460456E+00
    1100    8.8917767281E-01    2.0134511888E-01    9.6651392799E+00
    1200    8.8967668118E-01    2.0304400225E-01    9.6728335060E+00
    1300    8.9018564677E-01    2.0476565598E-01    9.6807292283E+00
    1400    8.9070500915E-01    2.0651005396E-01    9.6888269321E+00
    1500    8.9123522216E-01    2.0827716445E-01    9.6971270826E+00
    1600    8.9177675399E-01    2.1006694989E-01    9.7056301239E+00
    1700    8.9233008739E-01    2.1187936659E-01    9.7143364777E+00
    1800    8.9289571983E-01    2.1371436446E-01    9.7232465424E+00
    1900    8.9347416377E-01    2.1557188680E-01    9.7323606920E+00
    2000    8.9406594694E-01    2.1745186995E-01    9.7416792751E+00
    2100    8.9467161268E-01    2.1935424303E-01    9.7512026138E+00
    2200    8.9529172033E-01    2.2127892768E-01    9.7609310029E+00
    2300    8.9592684574E-01    2.2322583770E-01    9.7708647088E+00
    2400    8.9657758175E-01    2.2519487879E-01    9.7810039688E+00
    2500    8.9724453884E-01    2.2718594816E-01    9.7913489902E+00
    2600    8.9792834576E-01    2.2919893424E-01    9.8018999493E+00
    2700    8.9862965027E-01    2.3123371627E-01    9.8126569914E+00
    2800    8.9934912002E-01    2.3329016395E-01    9.8236202292E+00
    2900    9.0008744337E-01    2.3536813698E-01    9.8347897430E+00
    3000    9.0084533037E-01    2.3746748470E-01    9.8461655801E+00
    3100    9.0162351382E-01    2.3958804540E-01    9.8577477541E+00
    3200    9.0242275020E-01    2.4172964652E-01    9.8695362448E+00
    3300    9.0324382145E-01    2.4389210149E-01    9.8815309979E+00
    3400    9.0408753368E-01    2.4607521893E-01    9.8937319249E+00
    3500    9.0495472734E-01    2.4827876717E-01    9.9061389034E+00
    3600    9.0584624946E-01    2.5050258388E-01    9.9187517744E+00
    3700    9.0676302673E-01    2.5274630545E-01    9.9315703500E+00
    3800    9.0770483882E-01    2.5501360613E-01    9.9445942948E+00
    3900    9.0867086671E-01    2.5730988492E-01    9.9578232267E+00
    4000    9.0966009534E-01    2.5964074534E-01    9.9712567768E+00
    4100    9.1067130271E-01    2.6201200770E-01    9.9848946016E+00
    4200    9.1170304821E-01    2.6442972686E-01    9.9987363948E+00
    4300    9.1275366003E-01    2.6690021453E-01    1.0012781901E+01
    4400    9.1382122167E-01    2.6943006631E-01    1.0027030928E+01
    4500    9.1490355732E-01    2.7202619384E-01    1.0041483367E+01
    4600    9.1599821571E-01    2.7469586242E-01    1.0056139201E+01
    4700    9.1710245232E-01    2.7744673469E-01    1.0070998534E+01
    4800    9.1821320953E-01    2.8028692073E-01    1.0086061599E+01
    4900    9.1932709449E-01    2.8322503551E-01    1.0101328791E+01
    5000    9.2044035427E-01    2.8627026418E-01    1.0116800685E+01
    5100    9.2154884801E-01    2.8943243634E-01    1.0132478069E+01
    5200    9.2264801564E-01    2.9272211035E-01    1.0148361974E+01
    5300    9.2373284279E-01    2.9615066881E-01    1.0164453709E+01
    5400    9.2479782138E-01    2.9973042695E-01    1.0180754910E+01
    5500    9.2583690561E-01    3.0347475552E-01    1.0197267581E+01
    5600    9.2684346268E-01    3.0739822027E-01    1.0213994156E+01
    5700    9.2781021785E-01    3.1151674050E-01    1.0230937559E+01
    5800    9.2872919344E-01    3.1584776940E-01    1.0248101285E+01
    5900    9.2959164100E-01    3.2041049946E-01    1.0265489482E+01
    6000    9.3038796652E-01    3.2522609685E-01    1.0283107055E+01
    6100    9.3110764798E-01    3.3031796903E-01    1.0300959783E+01
    6200    9.3173914506E-01    3.3571207092E-01    1.0319054451E+01
    6300    9.3226980087E-01    3.4143725551E-01    1.0337399015E+01
    6400    9.3268573584E-01    3.4752567588E-01    1.0356002777E+01
    6500    9.3297173449E-01    3.5401324653E-01    1.0374876608E+01
    6600    9.3311112647E-01    3.6094017309E-01    1.0394033194E+01
    6700    9.3308566467E-01    3.6835156039E-01    1.0413487330E+01
    6800    9.3287540464E-01    3.7629810981E-01    1.0433256269E+01
    6900    9.3245859299E-01    3.8483691737E-01    1.0453360130E+01
    7000    9.3181157587E-01    3.9403238324E-01    1.0473822381E+01
    7100    9.3090874556E-01    4.0395724175E-01    1.0494670421E+01
    7200    9.2972255202E-01    4.1469371597E-01    1.0515936273E+01
    7300    9.2822361980E-01    4.2633479198E-01    1.0537657413E+01
    7400    9.2638103069E-01    4.3898559190E-01    1.0559877781E+01
