 sig=    1.000000000000000     
 dt=   1.0000000000000001E-009
 steps=      1000000
 x0=   0.1400000000000000         1.396200000000000      
    9.593700000000000     
 u=    50000.00000000000     
 v_perp=    1100000.000000000     
 
istep         r       z        zeta
     100    8.8492381951E-01    1.8631206027E-01    9.5992287957E+00
     200    8.8562743381E-01    1.8851203878E-01    9.6051819810E+00
     300    8.8634255469E-01    1.9075593017E-01    9.6115077534E+00
     400    8.8706955671E-01    1.9304385795E-01    9.6182082822E+00
     500    8.8780886306E-01    1.9537593589E-01    9.6252857034E+00
     600    8.8856094572E-01    1.9775226751E-01    9.6327421169E+00
     700    8.8932632555E-01    2.0017294553E-01    9.6405795831E+00
     800    8.9010557241E-01    2.0263805128E-01    9.6488001195E+00
     900    8.9089930522E-01    2.0514765400E-01    9.6574056971E+00
    1000    8.9170819200E-01    2.0770181020E-01    9.6663982361E+00
    1100    8.9253295002E-01    2.1030056287E-01    9.6757796021E+00
    1200    8.9337434596E-01    2.1294394078E-01    9.6855516017E+00
    1300    8.9423319621E-01    2.1563195761E-01    9.6957159782E+00
    1400    8.9511036731E-01    2.1836461123E-01    9.7062744072E+00
    1500    8.9600677657E-01    2.2114188276E-01    9.7172284923E+00
    1600    8.9692339301E-01    2.2396373580E-01    9.7285797604E+00
    1700    8.9786123854E-01    2.2683011568E-01    9.7403296579E+00
    1800    8.9882138922E-01    2.2974095057E-01    9.7524795462E+00
    1900    8.9980497222E-01    2.3269617970E-01    9.7650306971E+00
    2000    9.0081295196E-01    2.3569694941E-01    9.7779842401E+00
    2100    9.0184209867E-01    2.3876703824E-01    9.7913403244E+00
    2200    9.0288569770E-01    2.4194475184E-01    9.8050985949E+00
    2300    9.0393531324E-01    2.4527117187E-01    9.8192588029E+00
    2400    9.0498055496E-01    2.4879055676E-01    9.8338209277E+00
    2500    9.0600878304E-01    2.5255104542E-01    9.8487853190E+00
    2600    9.0700474674E-01    2.5660563607E-01    9.8641528673E+00
    2700    9.0795013355E-01    2.6101349978E-01    9.8799252106E+00
    2800    9.0882299885E-01    2.6584171063E-01    9.8961049894E+00
    2900    9.0959703522E-01    2.7116750770E-01    9.9126961632E+00
    3000    9.1024062480E-01    2.7708125144E-01    9.9297044121E+00
    3100    9.1071559539E-01    2.8369030770E-01    9.9471376513E+00
    3200    9.1097556499E-01    2.9112419648E-01    9.9650067046E+00
    3300    9.1096370603E-01    2.9954149896E-01    9.9833261940E+00
    3400    9.1060967537E-01    3.0913925711E-01    1.0002115739E+01
    3500    9.0982532115E-01    3.2016597606E-01    1.0021401599E+01
    3600    9.0849855966E-01    3.3293994287E-01    1.0041218955E+01
    3700    9.0648445352E-01    3.4787556623E-01    1.0061615159E+01
    3800    9.0359191043E-01    3.6552211630E-01    1.0082654454E+01
    3900    8.9956335571E-01    3.8662215763E-01    1.0104425023E+01
    4000    8.9404281985E-01    4.1220220323E-01    1.0127049869E+01
    4100    8.8652434405E-01    4.4371783792E-01    1.0150704261E+01
    4200    8.7626586479E-01    4.8329419686E-01    1.0175645057E+01
    4300    8.6214064059E-01    5.3413934657E-01    1.0202262925E+01
    4400    8.4237323311E-01    6.0128033308E-01    1.0231182111E+01
    4500    8.1406607355E-01    6.9290180179E-01    1.0263468403E+01
    4600    7.7241798256E-01    8.2268115626E-01    1.0301111203E+01
    4700    7.1017035612E-01    1.0124615078E+00    1.0348281780E+01
    4800    6.2417768565E-01    1.2826884921E+00    1.0414837769E+01
    4900    5.6738776173E-01    1.5678122143E+00    1.0523182132E+01
    5000    7.1701433430E-01    1.6558946609E+00    1.0711999287E+01
    5100    1.0587422859E+00    1.4804100080E+00    1.1198412536E+01
    5200    1.5499497640E+00    2.9307619554E+00    1.2664546602E+01
    5300    2.4131106658E+02   -2.9990207944E+02    1.0514106025E+01
    5400    3.1900167988E+02   -4.3074423337E+02    1.0946933170E+01
    5500    2.1848483920E+02   -5.3425549043E+02    1.1328741004E+01
    5600    1.9770972183E+02   -5.8131744298E+02    1.1440815150E+01
    5700    1.9156395317E+02   -5.9376839841E+02    1.1487497474E+01
    5800    1.8158665681E+02   -5.9063614114E+02    1.1528852124E+01
    5900    1.6893607898E+02   -5.7697237460E+02    1.1569364621E+01
    6000    1.5357092593E+02   -5.5351101450E+02    1.1612393946E+01
    6100    1.3428458516E+02   -5.1734374604E+02    1.1663199719E+01
    6200    1.0451475358E+02   -4.5039858030E+02    1.1742775357E+01
    6300    1.0776876346E+02   -4.6278591590E+02    1.1739959793E+01
    6400    1.7016497489E+07   -3.1398616127E+07    1.7521591596E+01
    6500    1.6644841320E+07   -3.2760392853E+07    1.7616637584E+01
    6600    1.6118480307E+07   -3.4146853624E+07    1.7709984554E+01
    6700    1.5422823181E+07   -3.5539254726E+07    1.7801761664E+01
    6800    1.4546499023E+07   -3.6915850178E+07    1.7892101357E+01
    6900    1.3481917829E+07   -3.8252352927E+07    1.7981137114E+01
    7000    1.2225773456E+07   -3.9522537855E+07    1.8069001674E+01
    7100    1.0779459994E+07   -4.0698994556E+07    1.8155825710E+01
    7200    9.1493583261E+06   -4.1754018817E+07    1.8241736902E+01
    7300    7.3469462321E+06   -4.2660610239E+07    1.8326859366E+01
    7400    5.3886930062E+06   -4.3393524016E+07    1.8411313402E+01
    7500    3.2957158966E+06   -4.3930311054E+07    1.8495215504E+01
    7600    1.0931974447E+06   -4.4252274342E+07    1.8578678612E+01
    7700   -1.1904138951E+06   -4.4345271715E+07    1.8661812550E+01
    7800   -3.5243761025E+06   -4.4200305470E+07    1.8744724622E+01
    7900   -5.8767385959E+06   -4.3813856354E+07    1.8827520322E+01
    8000   -8.2154697654E+06   -4.3187941139E+07    1.8910304137E+01
    8100   -1.0509554793E+07   -4.2329896697E+07    1.8993180385E+01
    8200   -1.2729997029E+07   -4.1251916383E+07    1.9076254071E+01
    8300   -1.4850668315E+07   -3.9970383851E+07    1.9159631710E+01
    8400   -1.6848970579E+07   -3.8505062787E+07    1.9243422089E+01
    8500   -1.8706290156E+07   -3.6878207035E+07    1.9327736931E+01
    8600   -2.0408245032E+07   -3.5113653530E+07    1.9412691417E+01
    8700   -2.1944740702E+07   -3.3235951431E+07    1.9498404530E+01
    8800   -2.3309860787E+07   -3.1269566626E+07    1.9584999190E+01
    8900   -2.4501623215E+07   -2.9238184615E+07    1.9672602125E+01
    9000   -2.5521632179E+07   -2.7164119801E+07    1.9761343447E+01
    9100   -2.6374652588E+07   -2.5067828589E+07    1.9851355886E+01
    9200   -2.7068129910E+07   -2.2967519346E+07    1.9942773626E+01
    9300   -2.7611677219E+07   -2.0878854766E+07    2.0035730714E+01
    9400   -2.8016554246E+07   -1.8814750184E+07    2.0130358988E+01
    9500   -2.8295169698E+07   -1.6785281835E+07    2.0226785490E+01
    9600   -2.8460644525E+07   -1.4797727297E+07    2.0325129347E+01
    9700   -2.8526474441E+07   -1.2856760493E+07    2.0425498129E+01
    9800   -2.8506318734E+07   -1.0964810104E+07    2.0527983696E+01
    9900   -2.8413915589E+07   -9.1225595416E+06    2.0632657643E+01
   10000   -2.8263084774E+07   -7.3295218906E+06    2.0739566438E+01
   10100   -2.8067738483E+07   -5.5845776282E+06    2.0848726469E+01
   10200   -2.7841800678E+07   -3.8863414146E+06    2.0960119239E+01
   10300   -2.7598955528E+07   -2.2332555810E+06    2.1073687044E+01
   10400   -2.7352215501E+07   -6.2340587309E+05    2.1189329490E+01
   10500   -2.7113401415E+07    9.4580610866E+05    2.1306901261E+01
   10600   -2.6892711449E+07    2.4778937830E+06    2.1426211520E+01
   10700   -2.6698561259E+07    3.9771997507E+06    2.1547025251E+01
   10800   -2.6537767566E+07    5.4484562495E+06    2.1669066771E+01
   10900   -2.6415957730E+07    6.8962175351E+06    2.1792025452E+01
   11000   -2.6337928290E+07    8.3245465979E+06    2.1915563519E+01
   11100   -2.6307670704E+07    9.7372352007E+06    2.2039325574E+01
   11200   -2.6327969197E+07    1.1138503807E+07    2.2162949286E+01
   11300   -2.6399747027E+07    1.2533799069E+07    2.2286076565E+01
   11400   -2.6521504009E+07    1.3930236317E+07    2.2408364438E+01
   11500   -2.6689123951E+07    1.5336475720E+07    2.2529494921E+01
   11600   -2.6896081848E+07    1.6762174430E+07    2.2649183275E+01
   11700   -2.7133831579E+07    1.8217353041E+07    2.2767184262E+01
   11800   -2.7392077794E+07    1.9711942178E+07    2.2883296191E+01
   11900   -2.7658760536E+07    2.1255544637E+07    2.2997362769E+01
   12000   -2.7919794612E+07    2.2857258295E+07    2.3109272939E+01
   12100   -2.8158759835E+07    2.4525370989E+07    2.3218958991E+01
   12200   -2.8356758591E+07    2.6266836844E+07    2.3326393327E+01
   12300   -2.8492569187E+07    2.8086574592E+07    2.3431584291E+01
   12400   -2.8543103629E+07    2.9986708905E+07    2.3534571440E+01
   12500   -2.8484093006E+07    3.1965882702E+07    2.3635420594E+01
   12600   -2.8290896676E+07    3.4018726687E+07    2.3734218945E+01
   12700   -2.7939350596E+07    3.6135520697E+07    2.3831070420E+01
   12800   -2.7406607974E+07    3.8302045792E+07    2.3926091443E+01
