 sig=    1.000000000000000     
 dt=   1.0000000000000001E-009
 steps=      2000000
 x0=   0.1400000000000000         1.396200000000000      
    9.593700000000000     
 u=    1000000.000000000     
 v_perp=    4300000.000000000     
 
istep         r       z        zeta
    4550    1.0413539612E+00   -1.9675746448E-02    1.5784416788E+01
    4600    1.0444619546E+00   -2.5081920117E-02    1.5853005453E+01
    4650    1.0481642302E+00   -2.9940673041E-02    1.5920499171E+01
    4700    1.0524183671E+00   -3.4283289005E-02    1.5986860346E+01
    4750    1.0571788721E+00   -3.8143284421E-02    1.6052058782E+01
    4800    1.0623979863E+00   -4.1555715879E-02    1.6116071145E+01
    4850    1.0680265978E+00   -4.4556239013E-02    1.6178880362E+01
    4900    1.0740151470E+00   -4.7180087175E-02    1.6240475023E+01
    4950    1.0803144314E+00   -4.9461124687E-02    1.6300848818E+01
    5000    1.0868762487E+00   -5.1431091343E-02    1.6360000028E+01
    5050    1.0936538539E+00   -5.3119105214E-02    1.6417931065E+01
    5100    1.1006022374E+00   -5.4551441623E-02    1.6474648043E+01
    5150    1.1076782546E+00   -5.5751565798E-02    1.6530160366E+01
    5200    1.1148406489E+00   -5.6740369508E-02    1.6584480319E+01
    5250    1.1220500136E+00   -5.7536548524E-02    1.6637622651E+01
    5300    1.1292687314E+00   -5.8157055976E-02    1.6689604159E+01
    5350    1.1364609238E+00   -5.8617573266E-02    1.6740443272E+01
    5400    1.1435924286E+00   -5.8932951727E-02    1.6790159644E+01
    5450    1.1506308152E+00   -5.9117591504E-02    1.6838773770E+01
    5500    1.1575454379E+00   -5.9185737203E-02    1.6886306624E+01
    5550    1.1643075202E+00   -5.9151681201E-02    1.6932779332E+01
    5600    1.1708902623E+00   -5.9029874655E-02    1.6978212879E+01
    5650    1.1772689584E+00   -5.8834953007E-02    1.7022627857E+01
    5700    1.1834211152E+00   -5.8581687363E-02    1.7066044243E+01
    5750    1.1893265597E+00   -5.8284875843E-02    1.7108481224E+01
    5800    1.1949675309E+00   -5.7959190211E-02    1.7149957054E+01
    5850    1.2003287477E+00   -5.7618993151E-02    1.7190488944E+01
    5900    1.2053974502E+00   -5.7278140741E-02    1.7230092990E+01
    5950    1.2101634125E+00   -5.6949783262E-02    1.7268784126E+01
    6000    1.2146189260E+00   -5.6646175639E-02    1.7306576109E+01
    6050    1.2187587539E+00   -5.6378506758E-02    1.7343481522E+01
    6100    1.2225800592E+00   -5.6156754698E-02    1.7379511802E+01
    6150    1.2260823078E+00   -5.5989572777E-02    1.7414677279E+01
    6200    1.2292671499E+00   -5.5884209250E-02    1.7448987230E+01
    6250    1.2321382830E+00   -5.5846461605E-02    1.7482449946E+01
    6300    1.2347013000E+00   -5.5880664782E-02    1.7515072796E+01
    6350    1.2369635254E+00   -5.5989711302E-02    1.7546862303E+01
    6400    1.2389338441E+00   -5.6175100214E-02    1.7577824220E+01
    6450    1.2406225250E+00   -5.6437011051E-02    1.7607963599E+01
    6500    1.2420410433E+00   -5.6774398499E-02    1.7637284867E+01
    6550    1.2432019039E+00   -5.7185103298E-02    1.7665791894E+01
    6600    1.2441184692E+00   -5.7665974880E-02    1.7693488057E+01
    6650    1.2448047920E+00   -5.8213001467E-02    1.7720376301E+01
    6700    1.2452754572E+00   -5.8821443650E-02    1.7746459196E+01
    6750    1.2455454321E+00   -5.9485967884E-02    1.7771738984E+01
    6800    1.2456299276E+00   -6.0200776816E-02    1.7796217627E+01
    6850    1.2455442700E+00   -6.0959733857E-02    1.7819896849E+01
    6900    1.2453037851E+00   -6.1756479905E-02    1.7842778169E+01
    6950    1.2449236936E+00   -6.2584540615E-02    1.7864862933E+01
    7000    1.2444190185E+00   -6.3437423096E-02    1.7886152340E+01
    7050    1.2438045036E+00   -6.4308701300E-02    1.7906647470E+01
    7100    1.2430945435E+00   -6.5192089785E-02    1.7926349296E+01
    7150    1.2423031235E+00   -6.6081505840E-02    1.7945258709E+01
    7200    1.2414437692E+00   -6.6971120260E-02    1.7963376525E+01
    7250    1.2405295056E+00   -6.7855397288E-02    1.7980703501E+01
    7300    1.2395728235E+00   -6.8729124415E-02    1.7997240342E+01
    7350    1.2385856539E+00   -6.9587432878E-02    1.8012987710E+01
    7400    1.2375793480E+00   -7.0425809795E-02    1.8027946230E+01
    7450    1.2365646637E+00   -7.1240102916E-02    1.8042116492E+01
    7500    1.2355517564E+00   -7.2026519014E-02    1.8055499058E+01
    7550    1.2345501743E+00   -7.2781616912E-02    1.8068094461E+01
    7600    1.2335688567E+00   -7.3502296129E-02    1.8079903209E+01
    7650    1.2326161358E+00   -7.4185782075E-02    1.8090925785E+01
    7700    1.2316997398E+00   -7.4829608652E-02    1.8101162647E+01
    7750    1.2308267991E+00   -7.5431599073E-02    1.8110614227E+01
    7800    1.2300038522E+00   -7.5989845597E-02    1.8119280934E+01
    7850    1.2292368538E+00   -7.6502688836E-02    1.8127163150E+01
    7900    1.2285311826E+00   -7.6968697173E-02    1.8134261229E+01
    7950    1.2278916496E+00   -7.7386646793E-02    1.8140575501E+01
    8000    1.2273225063E+00   -7.7755502731E-02    1.8146106264E+01
    8050    1.2268274523E+00   -7.8074401269E-02    1.8150853789E+01
    8100    1.2264096428E+00   -7.8342633986E-02    1.8154818316E+01
    8150    1.2260716950E+00   -7.8559633686E-02    1.8158000053E+01
    8200    1.2258156937E+00   -7.8724962373E-02    1.8160399179E+01
    8250    1.2256431960E+00   -7.8838301445E-02    1.8162015838E+01
    8300    1.2255552354E+00   -7.8899444182E-02    1.8162850144E+01
    8350    1.2255523235E+00   -7.8908290632E-02    1.8162902176E+01
    8400    1.2256344520E+00   -7.8864844928E-02    1.8162171981E+01
    8450    1.2258010926E+00   -7.8769215057E-02    1.8160659571E+01
    8500    1.2260511960E+00   -7.8621615092E-02    1.8158364928E+01
    8550    1.2263831898E+00   -7.8422369862E-02    1.8155287997E+01
    8600    1.2267949749E+00   -7.8171921987E-02    1.8151428693E+01
    8650    1.2272839216E+00   -7.7870841243E-02    1.8146786897E+01
    8700    1.2278468635E+00   -7.7519836108E-02    1.8141362459E+01
    8750    1.2284800922E+00   -7.7119767381E-02    1.8135155197E+01
    8800    1.2291793497E+00   -7.6671663670E-02    1.8128164899E+01
    8850    1.2299398211E+00   -7.6176738533E-02    1.8120391321E+01
    8900    1.2307561271E+00   -7.5636408999E-02    1.8111834193E+01
    8950    1.2316223157E+00   -7.5052315117E-02    1.8102493213E+01
    9000    1.2325318546E+00   -7.4426340144E-02    1.8092368052E+01
    9050    1.2334776240E+00   -7.3760630904E-02    1.8081458354E+01
    9100    1.2344519102E+00   -7.3057617761E-02    1.8069763734E+01
    9150    1.2354464005E+00   -7.2320033601E-02    1.8057283781E+01
    9200    1.2364521796E+00   -7.1550931108E-02    1.8044018054E+01
    9250    1.2374597285E+00   -7.0753697570E-02    1.8029966085E+01
    9300    1.2384589261E+00   -6.9932066369E-02    1.8015127372E+01
    9350    1.2394390540E+00   -6.9090124243E-02    1.7999501382E+01
    9400    1.2403888059E+00   -6.8232313368E-02    1.7983087544E+01
    9450    1.2412963009E+00   -6.7363427270E-02    1.7965885247E+01
    9500    1.2421491030E+00   -6.6488599583E-02    1.7947893830E+01
    9550    1.2429342471E+00   -6.5613284665E-02    1.7929112578E+01
    9600    1.2436382711E+00   -6.4743229166E-02    1.7909540713E+01
    9650    1.2442472574E+00   -6.3884433699E-02    1.7889177379E+01
    9700    1.2447468817E+00   -6.3043103932E-02    1.7868021632E+01
    9750    1.2451224722E+00   -6.2225590563E-02    1.7846072421E+01
    9800    1.2453590790E+00   -6.1438317883E-02    1.7823328570E+01
    9850    1.2454415538E+00   -6.0687700899E-02    1.7799788755E+01
    9900    1.2453546411E+00   -5.9980051311E-02    1.7775451478E+01
    9950    1.2450830811E+00   -5.9321472996E-02    1.7750315033E+01
   10000    1.2446117240E+00   -5.8717748080E-02    1.7724377476E+01
   10050    1.2439256562E+00   -5.8174215118E-02    1.7697636582E+01
   10100    1.2430103367E+00   -5.7695641369E-02    1.7670089801E+01
   10150    1.2418517451E+00   -5.7286091664E-02    1.7641734212E+01
   10200    1.2404365377E+00   -5.6948796838E-02    1.7612566461E+01
   10250    1.2387522123E+00   -5.6686025165E-02    1.7582582710E+01
   10300    1.2367872785E+00   -5.6498960656E-02    1.7551778566E+01
   10350    1.2345314327E+00   -5.6387592375E-02    1.7520149018E+01
   10400    1.2319757338E+00   -5.6350619173E-02    1.7487688366E+01
   10450    1.2291127788E+00   -5.6385374216E-02    1.7454390144E+01
   10500    1.2259368726E+00   -5.6487773562E-02    1.7420247050E+01
   10550    1.2224441918E+00   -5.6652292574E-02    1.7385250873E+01
   10600    1.2186329363E+00   -5.6871973282E-02    1.7349392424E+01
   10650    1.2145034671E+00   -5.7138464824E-02    1.7312661470E+01
   10700    1.2100584258E+00   -5.7442097770E-02    1.7275046682E+01
   10750    1.2053028331E+00   -5.7771991610E-02    1.7236535593E+01
   10800    1.2002441637E+00   -5.8116192844E-02    1.7197114568E+01
   10850    1.1948923937E+00   -5.8461839136E-02    1.7156768799E+01
   10900    1.1892600208E+00   -5.8795342850E-02    1.7115482316E+01
   10950    1.1833620549E+00   -5.9102585183E-02    1.7073238033E+01
   11000    1.1772159807E+00   -5.9369110038E-02    1.7030017813E+01
   11050    1.1708416926E+00   -5.9580304954E-02    1.6985802575E+01
   11100    1.1642614069E+00   -5.9721554990E-02    1.6940572427E+01
   11150    1.1574995560E+00   -5.9778354560E-02    1.6894306843E+01
   11200    1.1505826718E+00   -5.9736362193E-02    1.6846984873E+01
   11250    1.1435392680E+00   -5.9581384221E-02    1.6798585390E+01
   11300    1.1363997322E+00   -5.9299275898E-02    1.6749087379E+01
   11350    1.1291962374E+00   -5.8875752658E-02    1.6698470259E+01
   11400    1.1219626851E+00   -5.8296110591E-02    1.6646714232E+01
   11450    1.1147346835E+00   -5.7544863810E-02    1.6593800673E+01
   11500    1.1075495648E+00   -5.6605317228E-02    1.6539712526E+01
   11550    1.1004464311E+00   -5.5459105810E-02    1.6484434720E+01
   11600    1.0934662129E+00   -5.4085744434E-02    1.6427954587E+01
   11650    1.0866517115E+00   -5.2462244097E-02    1.6370262274E+01
   11700    1.0800475852E+00   -5.0562857519E-02    1.6311351158E+01
   11750    1.0737002376E+00   -4.8359016857E-02    1.6251218253E+01
   11800    1.0676575640E+00   -4.5819514873E-02    1.6189864638E+01
   11850    1.0619685235E+00   -4.2910956332E-02    1.6127295909E+01
   11900    1.0566825272E+00   -3.9598468710E-02    1.6063522685E+01
   11950    1.0518486599E+00   -3.5846614005E-02    1.5998561158E+01
   12000    1.0475147908E+00   -3.1620394238E-02    1.5932433692E+01
   12050    1.0437266606E+00   -2.6886203326E-02    1.5865169422E+01
   12100    1.0405270571E+00   -2.1612560046E-02    1.5796804813E+01
   12150    1.0379551912E+00   -1.5770471358E-02    1.5727384102E+01
   12200    1.0360463653E+00   -9.3333266426E-03    1.5656959561E+01
   12250    1.0348319775E+00   -2.2763058402E-03    1.5585591532E+01
   12300    1.0343398368E+00    5.4246172261E-03    1.5513348195E+01
   12350    1.0345947037E+00    1.3793902424E-02    1.5440305055E+01
   12400    1.0356189097E+00    2.2857662207E-02    1.5366544169E+01
   12450    1.0374328874E+00    3.2644608643E-02    1.5292153141E+01
   12500    1.0400554451E+00    4.3186489711E-02    1.5217223954E+01
   12550    1.0435036542E+00    5.4517844425E-02    1.5141851702E+01
   12600    1.0477922839E+00    6.6675007126E-02    1.5066133305E+01
   12650    1.0529327924E+00    7.9694405355E-02    1.4990166260E+01
   12700    1.0589319700E+00    9.3610300005E-02    1.4914047459E+01
   12750    1.0657903954E+00    1.0845218839E-01    1.4837872078E+01
   12800    1.0735009096E+00    1.2424211561E-01    1.4761732507E+01
   12850    1.0820473108E+00    1.4099211628E-01    1.4685717336E+01
   12900    1.0914034355E+00    1.5870195153E-01    1.4609910383E+01
   12950    1.1015327201E+00    1.7735723816E-01    1.4534389786E+01
   13000    1.1123882583E+00    1.9692801103E-01    1.4459227187E+01
