 sig=    1.000000000000000     
 dt=   1.0000000000000001E-009
 steps=      1000000
 x0=   0.1400000000000000         1.396200000000000      
    9.593700000000000     
 u=    50000.00000000000     
 v_perp=    300000.0000000000     
 
istep         r       z        zeta
     100    8.8438451952E-01    1.8493446103E-01    9.5990946000E+00
     200    8.8453620740E-01    1.8570217218E-01    9.6045709402E+00
     300    8.8469191002E-01    1.8647269205E-01    9.6100746598E+00
     400    8.8485167606E-01    1.8724600612E-01    9.6156057506E+00
     500    8.8501555428E-01    1.8802209955E-01    9.6211642032E+00
     600    8.8518359362E-01    1.8880095709E-01    9.6267500065E+00
     700    8.8535584313E-01    1.8958256318E-01    9.6323631482E+00
     800    8.8553235199E-01    1.9036690184E-01    9.6380036146E+00
     900    8.8571316956E-01    1.9115395675E-01    9.6436713904E+00
    1000    8.8589834530E-01    1.9194371120E-01    9.6493664589E+00
    1100    8.8608792887E-01    1.9273614811E-01    9.6550888019E+00
    1200    8.8628197008E-01    1.9353125003E-01    9.6608383999E+00
    1300    8.8648051888E-01    1.9432899912E-01    9.6666152317E+00
    1400    8.8668362544E-01    1.9512937715E-01    9.6724192747E+00
    1500    8.8689134007E-01    1.9593236554E-01    9.6782505047E+00
    1600    8.8710371332E-01    1.9673794529E-01    9.6841088961E+00
    1700    8.8732079588E-01    1.9754609702E-01    9.6899944217E+00
    1800    8.8754263870E-01    1.9835680096E-01    9.6959070527E+00
    1900    8.8776929292E-01    1.9917003693E-01    9.7018467588E+00
    2000    8.8800080990E-01    1.9998578436E-01    9.7078135083E+00
    2100    8.8823724124E-01    2.0080402229E-01    9.7138072675E+00
    2200    8.8847863880E-01    2.0162472933E-01    9.7198280017E+00
    2300    8.8872505467E-01    2.0244788372E-01    9.7258756741E+00
    2400    8.8897654121E-01    2.0327346325E-01    9.7319502467E+00
    2500    8.8923315107E-01    2.0410144530E-01    9.7380516796E+00
    2600    8.8949493716E-01    2.0493180685E-01    9.7441799316E+00
    2700    8.8976195271E-01    2.0576452443E-01    9.7503349597E+00
    2800    8.9003425123E-01    2.0659957415E-01    9.7565167193E+00
    2900    8.9031188656E-01    2.0743693170E-01    9.7627251644E+00
    3000    8.9059491288E-01    2.0827657233E-01    9.7689602471E+00
    3100    8.9088338468E-01    2.0911847082E-01    9.7752219180E+00
    3200    8.9117735682E-01    2.0996260153E-01    9.7815101263E+00
    3300    8.9147688453E-01    2.1080893835E-01    9.7878248193E+00
    3400    8.9178202339E-01    2.1165745471E-01    9.7941659429E+00
    3500    8.9209282938E-01    2.1250812360E-01    9.8005334412E+00
    3600    8.9240935885E-01    2.1336091751E-01    9.8069272569E+00
    3700    8.9273166859E-01    2.1421580845E-01    9.8133473308E+00
    3800    8.9305981577E-01    2.1507276798E-01    9.8197936025E+00
    3900    8.9339385800E-01    2.1593176712E-01    9.8262660097E+00
    4000    8.9373385334E-01    2.1679277643E-01    9.8327644885E+00
    4100    8.9407986028E-01    2.1765576595E-01    9.8392889737E+00
    4200    8.9443193775E-01    2.1852070519E-01    9.8458393981E+00
    4300    8.9479014516E-01    2.1938756317E-01    9.8524156933E+00
    4400    8.9515454240E-01    2.2025630835E-01    9.8590177891E+00
    4500    8.9552518981E-01    2.2112690867E-01    9.8656456137E+00
    4600    8.9590214825E-01    2.2199933152E-01    9.8722990939E+00
    4700    8.9628547905E-01    2.2287354373E-01    9.8789781548E+00
    4800    8.9667524404E-01    2.2374951156E-01    9.8856827201E+00
    4900    8.9707150558E-01    2.2462720069E-01    9.8924127118E+00
    5000    8.9747432650E-01    2.2550657624E-01    9.8991680504E+00
    5100    8.9788377018E-01    2.2638760272E-01    9.9059486550E+00
    5200    8.9829990048E-01    2.2727024403E-01    9.9127544430E+00
    5300    8.9872278183E-01    2.2815446347E-01    9.9195853305E+00
    5400    8.9915247913E-01    2.2904022370E-01    9.9264412318E+00
    5500    8.9958905783E-01    2.2992748676E-01    9.9333220600E+00
    5600    9.0003258389E-01    2.3081621401E-01    9.9402277267E+00
    5700    9.0048312380E-01    2.3170636620E-01    9.9471581418E+00
    5800    9.0094074456E-01    2.3259790338E-01    9.9541132139E+00
    5900    9.0140551368E-01    2.3349078494E-01    9.9610928503E+00
    6000    9.0187749919E-01    2.3438496955E-01    9.9680969565E+00
    6100    9.0235676960E-01    2.3528041521E-01    9.9751254368E+00
    6200    9.0284339395E-01    2.3617707919E-01    9.9821781942E+00
    6300    9.0333744175E-01    2.3707491803E-01    9.9892551300E+00
    6400    9.0383898298E-01    2.3797388755E-01    9.9963561444E+00
    6500    9.0434808811E-01    2.3887394280E-01    1.0003481136E+01
    6600    9.0486482805E-01    2.3977503811E-01    1.0010630002E+01
    6700    9.0538927416E-01    2.4067712699E-01    1.0017802639E+01
    6800    9.0592149823E-01    2.4158016221E-01    1.0024998940E+01
    6900    9.0646157247E-01    2.4248409571E-01    1.0032218801E+01
    7000    9.0700956948E-01    2.4338887865E-01    1.0039462111E+01
    7100    9.0756556223E-01    2.4429446138E-01    1.0046728762E+01
    7200    9.0812962406E-01    2.4520079340E-01    1.0054018644E+01
    7300    9.0870182866E-01    2.4610782339E-01    1.0061331644E+01
    7400    9.0928225001E-01    2.4701549918E-01    1.0068667649E+01
    7500    9.0987096239E-01    2.4792376774E-01    1.0076026545E+01
    7600    9.1046804038E-01    2.4883257517E-01    1.0083408216E+01
    7700    9.1107355875E-01    2.4974186669E-01    1.0090812545E+01
    7800    9.1168759253E-01    2.5065158664E-01    1.0098239413E+01
    7900    9.1231021691E-01    2.5156167846E-01    1.0105688701E+01
    8000    9.1294150725E-01    2.5247208469E-01    1.0113160289E+01
    8100    9.1358153902E-01    2.5338274695E-01    1.0120654055E+01
    8200    9.1423038781E-01    2.5429360594E-01    1.0128169875E+01
    8300    9.1488812924E-01    2.5520460142E-01    1.0135707625E+01
    8400    9.1555483899E-01    2.5611567223E-01    1.0143267180E+01
    8500    9.1623059270E-01    2.5702675625E-01    1.0150848414E+01
    8600    9.1691546598E-01    2.5793779042E-01    1.0158451197E+01
    8700    9.1760953436E-01    2.5884871072E-01    1.0166075402E+01
    8800    9.1831287324E-01    2.5975945217E-01    1.0173720899E+01
    8900    9.1902555786E-01    2.6066994881E-01    1.0181387555E+01
    9000    9.1974766327E-01    2.6158013371E-01    1.0189075240E+01
    9100    9.2047926427E-01    2.6248993898E-01    1.0196783818E+01
    9200    9.2122043538E-01    2.6339929573E-01    1.0204513156E+01
    9300    9.2197125080E-01    2.6430813410E-01    1.0212263119E+01
    9400    9.2273178435E-01    2.6521638325E-01    1.0220033568E+01
    9500    9.2350210946E-01    2.6612397132E-01    1.0227824366E+01
    9600    9.2428229907E-01    2.6703082550E-01    1.0235635374E+01
    9700    9.2507242564E-01    2.6793687197E-01    1.0243466452E+01
    9800    9.2587256110E-01    2.6884203592E-01    1.0251317459E+01
    9900    9.2668277677E-01    2.6974624156E-01    1.0259188252E+01
   10000    9.2750314333E-01    2.7064941210E-01    1.0267078688E+01
   10100    9.2833373079E-01    2.7155146978E-01    1.0274988622E+01
   10200    9.2917460842E-01    2.7245233585E-01    1.0282917910E+01
   10300    9.3002584471E-01    2.7335193058E-01    1.0290866403E+01
   10400    9.3088750735E-01    2.7425017325E-01    1.0298833955E+01
   10500    9.3175966315E-01    2.7514698218E-01    1.0306820416E+01
   10600    9.3264237800E-01    2.7604227473E-01    1.0314825638E+01
   10700    9.3353571682E-01    2.7693596728E-01    1.0322849469E+01
   10800    9.3443974354E-01    2.7782797527E-01    1.0330891756E+01
   10900    9.3535452103E-01    2.7871821320E-01    1.0338952348E+01
   11000    9.3628011104E-01    2.7960659459E-01    1.0347031090E+01
   11100    9.3721657419E-01    2.8049303208E-01    1.0355127827E+01
   11200    9.3816396991E-01    2.8137743736E-01    1.0363242402E+01
   11300    9.3912235637E-01    2.8225972119E-01    1.0371374660E+01
   11400    9.4009179046E-01    2.8313979346E-01    1.0379524441E+01
   11500    9.4107232777E-01    2.8401756316E-01    1.0387691586E+01
   11600    9.4206402247E-01    2.8489293840E-01    1.0395875936E+01
   11700    9.4306692733E-01    2.8576582641E-01    1.0404077329E+01
