 sig=    1.000000000000000     
 dt=   1.0000000000000001E-009
 steps=      1000000
 x0=   0.1400000000000000         1.396200000000000      
    9.593700000000000     
 u=    50000.00000000000     
 v_perp=    500000.0000000000     
 
istep         r       z        zeta
     100    8.8446119522E-01    1.8513122408E-01    9.5991136751E+00
     200    8.8469064826E-01    1.8610342021E-01    9.6046577011E+00
     300    8.8492452097E-01    1.8708419055E-01    9.6102778666E+00
     400    8.8516295245E-01    1.8807352215E-01    9.6159742602E+00
     500    8.8540608369E-01    1.8907140089E-01    9.6217469671E+00
     600    8.8565405756E-01    1.9007781155E-01    9.6275960685E+00
     700    8.8590701879E-01    1.9109273767E-01    9.6335216420E+00
     800    8.8616511398E-01    1.9211616160E-01    9.6395237609E+00
     900    8.8642849159E-01    1.9314806442E-01    9.6456024947E+00
    1000    8.8669730196E-01    1.9418842594E-01    9.6517579082E+00
    1100    8.8697169726E-01    1.9523722463E-01    9.6579900621E+00
    1200    8.8725183157E-01    1.9629443766E-01    9.6642990122E+00
    1300    8.8753786082E-01    1.9736004076E-01    9.6706848099E+00
    1400    8.8782994283E-01    1.9843400829E-01    9.6771475016E+00
    1500    8.8812823731E-01    1.9951631316E-01    9.6836871286E+00
    1600    8.8843290590E-01    2.0060692679E-01    9.6903037273E+00
    1700    8.8874411213E-01    2.0170581910E-01    9.6969973287E+00
    1800    8.8906202151E-01    2.0281295848E-01    9.7037679585E+00
    1900    8.8938680151E-01    2.0392831173E-01    9.7106156367E+00
    2000    8.8971862159E-01    2.0505184405E-01    9.7175403780E+00
    2100    8.9005765325E-01    2.0618351899E-01    9.7245421911E+00
    2200    8.9040407004E-01    2.0732329845E-01    9.7316210789E+00
    2300    8.9075804762E-01    2.0847114260E-01    9.7387770383E+00
    2400    8.9111976379E-01    2.0962700985E-01    9.7460100601E+00
    2500    8.9148939851E-01    2.1079085686E-01    9.7533201291E+00
    2600    8.9186713401E-01    2.1196263844E-01    9.7607072235E+00
    2700    8.9225315479E-01    2.1314230757E-01    9.7681713152E+00
    2800    8.9264764767E-01    2.1432981530E-01    9.7757123698E+00
    2900    8.9305080192E-01    2.1552511076E-01    9.7833303461E+00
    3000    8.9346280922E-01    2.1672814110E-01    9.7910251964E+00
    3100    8.9388386383E-01    2.1793885142E-01    9.7987968661E+00
    3200    8.9431416257E-01    2.1915718478E-01    9.8066452938E+00
    3300    8.9475390496E-01    2.2038308209E-01    9.8145704115E+00
    3400    8.9520329326E-01    2.2161648212E-01    9.8225721439E+00
    3500    8.9566253256E-01    2.2285732140E-01    9.8306504088E+00
    3600    8.9613183085E-01    2.2410553419E-01    9.8388051172E+00
    3700    8.9661139912E-01    2.2536105241E-01    9.8470361726E+00
    3800    8.9710145142E-01    2.2662380561E-01    9.8553434717E+00
    3900    8.9760220497E-01    2.2789372089E-01    9.8637269038E+00
    4000    8.9811388024E-01    2.2917072282E-01    9.8721863510E+00
    4100    8.9863670099E-01    2.3045473340E-01    9.8807216884E+00
    4200    8.9917089444E-01    2.3174567198E-01    9.8893327834E+00
    4300    8.9971669129E-01    2.3304345517E-01    9.8980194966E+00
    4400    9.0027432580E-01    2.3434799682E-01    9.9067816809E+00
    4500    9.0084403590E-01    2.3565920786E-01    9.9156191823E+00
    4600    9.0142606328E-01    2.3697699629E-01    9.9245318390E+00
    4700    9.0202065339E-01    2.3830126706E-01    9.9335194824E+00
    4800    9.0262805560E-01    2.3963192198E-01    9.9425819362E+00
    4900    9.0324852318E-01    2.4096885965E-01    9.9517190170E+00
    5000    9.0388231342E-01    2.4231197532E-01    9.9609305341E+00
    5100    9.0452968764E-01    2.4366116087E-01    9.9702162893E+00
    5200    9.0519091126E-01    2.4501630461E-01    9.9795760775E+00
    5300    9.0586625379E-01    2.4637729127E-01    9.9890096861E+00
    5400    9.0655598891E-01    2.4774400183E-01    9.9985168951E+00
    5500    9.0726039445E-01    2.4911631343E-01    1.0008097478E+01
    5600    9.0797975239E-01    2.5049409927E-01    1.0017751200E+01
    5700    9.0871434886E-01    2.5187722847E-01    1.0027477819E+01
    5800    9.0946447411E-01    2.5326556597E-01    1.0037277088E+01
    5900    9.1023042251E-01    2.5465897242E-01    1.0047148751E+01
    6000    9.1101249244E-01    2.5605730402E-01    1.0057092543E+01
    6100    9.1181098626E-01    2.5746041244E-01    1.0067108196E+01
    6200    9.1262621026E-01    2.5886814470E-01    1.0077195433E+01
    6300    9.1345847450E-01    2.6028034297E-01    1.0087353968E+01
    6400    9.1430809275E-01    2.6169684456E-01    1.0097583510E+01
    6500    9.1517538236E-01    2.6311748169E-01    1.0107883761E+01
    6600    9.1606066408E-01    2.6454208144E-01    1.0118254414E+01
    6700    9.1696426193E-01    2.6597046557E-01    1.0128695158E+01
    6800    9.1788650304E-01    2.6740245043E-01    1.0139205671E+01
    6900    9.1882771739E-01    2.6883784682E-01    1.0149785626E+01
    7000    9.1978823768E-01    2.7027645989E-01    1.0160434689E+01
    7100    9.2076839904E-01    2.7171808898E-01    1.0171152517E+01
    7200    9.2176853882E-01    2.7316252755E-01    1.0181938762E+01
    7300    9.2278899629E-01    2.7460956303E-01    1.0192793066E+01
    7400    9.2383011243E-01    2.7605897671E-01    1.0203715066E+01
    7500    9.2489222956E-01    2.7751054368E-01    1.0214704390E+01
    7600    9.2597569108E-01    2.7896403267E-01    1.0225760658E+01
    7700    9.2708084117E-01    2.8041920592E-01    1.0236883484E+01
    7800    9.2820802441E-01    2.8187581916E-01    1.0248072473E+01
    7900    9.2935758540E-01    2.8333362160E-01    1.0259327222E+01
    8000    9.3052986844E-01    2.8479235575E-01    1.0270647321E+01
    8100    9.3172521726E-01    2.8625175713E-01    1.0282032352E+01
    8200    9.3294397473E-01    2.8771155408E-01    1.0293481886E+01
    8300    9.3418648213E-01    2.8917146834E-01    1.0304995489E+01
    8400    9.3545307820E-01    2.9063121607E-01    1.0316572718E+01
    8500    9.3674409937E-01    2.9209050650E-01    1.0328213121E+01
    8600    9.3805988169E-01    2.9354903740E-01    1.0339916236E+01
    8700    9.3940075993E-01    2.9500649610E-01    1.0351681594E+01
    8800    9.4076706071E-01    2.9646257181E-01    1.0363508717E+01
    8900    9.4215909650E-01    2.9791696568E-01    1.0375397117E+01
    9000    9.4357718010E-01    2.9936936252E-01    1.0387346299E+01
    9100    9.4502166032E-01    3.0081936492E-01    1.0399355756E+01
    9200    9.4649289386E-01    3.0226654628E-01    1.0411424970E+01
    9300    9.4799111878E-01    3.0371067734E-01    1.0423553419E+01
    9400    9.4951644215E-01    3.0515174020E-01    1.0435740579E+01
    9500    9.5106894958E-01    3.0658972717E-01    1.0447985919E+01
    9600    9.5264871031E-01    3.0802463115E-01    1.0460288905E+01
    9700    9.5425577686E-01    3.0945644593E-01    1.0472648998E+01
    9800    9.5589018465E-01    3.1088516651E-01    1.0485065656E+01
    9900    9.5755195176E-01    3.1231078945E-01    1.0497538333E+01
   10000    9.5924107863E-01    3.1373331323E-01    1.0510066478E+01
   10100    9.6095754785E-01    3.1515273863E-01    1.0522649540E+01
   10200    9.6270132397E-01    3.1656906915E-01    1.0535286964E+01
   10300    9.6447235335E-01    3.1798231137E-01    1.0547978195E+01
   10400    9.6627056405E-01    3.1939247543E-01    1.0560722676E+01
   10500    9.6809586575E-01    3.2079957542E-01    1.0573519850E+01
   10600    9.6994814964E-01    3.2220362987E-01    1.0586369157E+01
   10700    9.7182728846E-01    3.2360466221E-01    1.0599270043E+01
   10800    9.7373313639E-01    3.2500270124E-01    1.0612221951E+01
   10900    9.7566552912E-01    3.2639778166E-01    1.0625224326E+01
   11000    9.7762428376E-01    3.2778994461E-01    1.0638276617E+01
   11100    9.7960919890E-01    3.2917923817E-01    1.0651378275E+01
   11200    9.8162005452E-01    3.3056571801E-01    1.0664528755E+01
   11300    9.8365661199E-01    3.3194944796E-01    1.0677727515E+01
   11400    9.8571861397E-01    3.3333050067E-01    1.0690974019E+01
   11500    9.8780578433E-01    3.3470895832E-01    1.0704267735E+01
   11600    9.8991782800E-01    3.3608491334E-01    1.0717608139E+01
   11700    9.9205443081E-01    3.3745846919E-01    1.0730994710E+01
   11800    9.9421525923E-01    3.3882974122E-01    1.0744426937E+01
   11900    9.9639996012E-01    3.4019885755E-01    1.0757904316E+01
   12000    9.9860816039E-01    3.4156596006E-01    1.0771426352E+01
   12100    1.0008394667E+00    3.4293120535E-01    1.0784992557E+01
   12200    1.0030934649E+00    3.4429476590E-01    1.0798602455E+01
   12300    1.0053697197E+00    3.4565683119E-01    1.0812255579E+01
   12400    1.0076677743E+00    3.4701760892E-01    1.0825951471E+01
   12500    1.0099871494E+00    3.4837732633E-01    1.0839689689E+01
   12600    1.0123273432E+00    3.4973623150E-01    1.0853469799E+01
   12700    1.0146878307E+00    3.5109459486E-01    1.0867291383E+01
   12800    1.0170680628E+00    3.5245271060E-01    1.0881154033E+01
   12900    1.0194674662E+00    3.5381089824E-01    1.0895057358E+01
   13000    1.0218854428E+00    3.5516950427E-01    1.0909000982E+01
   13100    1.0243213687E+00    3.5652890374E-01    1.0922984541E+01
   13200    1.0267745946E+00    3.5788950202E-01    1.0937007691E+01
   13300    1.0292444445E+00    3.5925173654E-01    1.0951070102E+01
   13400    1.0317302160E+00    3.6061607860E-01    1.0965171463E+01
   13500    1.0342311796E+00    3.6198303520E-01    1.0979311479E+01
   13600    1.0367465785E+00    3.6335315100E-01    1.0993489874E+01
   13700    1.0392756286E+00    3.6472701020E-01    1.1007706394E+01
   13800    1.0418175181E+00    3.6610523860E-01    1.1021960800E+01
   13900    1.0443714076E+00    3.6748850562E-01    1.1036252875E+01
   14000    1.0469364303E+00    3.6887752646E-01    1.1050582424E+01
   14100    1.0495116914E+00    3.7027306427E-01    1.1064949271E+01
   14200    1.0520962690E+00    3.7167593242E-01    1.1079353263E+01
   14300    1.0546892138E+00    3.7308699683E-01    1.1093794269E+01
   14400    1.0572895493E+00    3.7450717843E-01    1.1108272181E+01
   14500    1.0598962724E+00    3.7593745566E-01    1.1122786914E+01
   14600    1.0625083534E+00    3.7737886710E-01    1.1137338405E+01
   14700    1.0651247365E+00    3.7883251420E-01    1.1151926620E+01
   14800    1.0677443402E+00    3.8029956407E-01    1.1166551545E+01
   14900    1.0703660579E+00    3.8178125244E-01    1.1181213195E+01
   15000    1.0729887582E+00    3.8327888662E-01    1.1195911609E+01
   15100    1.0756112856E+00    3.8479384865E-01    1.1210646855E+01
   15200    1.0782324613E+00    3.8632759844E-01    1.1225419026E+01
   15300    1.0808510839E+00    3.8788167705E-01    1.1240228246E+01
   15400    1.0834659303E+00    3.8945770994E-01    1.1255074664E+01
   15500    1.0860757569E+00    3.9105741037E-01    1.1269958462E+01
   15600    1.0886793002E+00    3.9268258269E-01    1.1284879849E+01
   15700    1.0912752789E+00    3.9433512571E-01    1.1299839067E+01
   15800    1.0938623949E+00    3.9601703605E-01    1.1314836387E+01
   15900    1.0964393349E+00    3.9773041144E-01    1.1329872114E+01
   16000    1.0990047728E+00    3.9947745392E-01    1.1344946582E+01
   16100    1.1015573711E+00    4.0126047304E-01    1.1360060162E+01
   16200    1.1040957840E+00    4.0308188891E-01    1.1375213253E+01
   16300    1.1066186592E+00    4.0494423522E-01    1.1390406290E+01
   16400    1.1091246415E+00    4.0685016206E-01    1.1405639742E+01
   16500    1.1116123753E+00    4.0880243871E-01    1.1420914109E+01
   16600    1.1140805081E+00    4.1080395624E-01    1.1436229927E+01
   16700    1.1165276943E+00    4.1285773008E-01    1.1451587764E+01
   16800    1.1189525991E+00    4.1496690238E-01    1.1466988223E+01
   16900    1.1213539023E+00    4.1713474430E-01    1.1482431938E+01
   17000    1.1237303032E+00    4.1936465830E-01    1.1497919579E+01
   17100    1.1260805249E+00    4.2166018016E-01    1.1513451847E+01
   17200    1.1284033196E+00    4.2402498113E-01    1.1529029474E+01
   17300    1.1306974738E+00    4.2646286993E-01    1.1544653228E+01
   17400    1.1329618136E+00    4.2897779477E-01    1.1560323903E+01
   17500    1.1351952110E+00    4.3157384537E-01    1.1576042328E+01
   17600    1.1373965891E+00    4.3425525502E-01    1.1591809362E+01
   17700    1.1395649296E+00    4.3702640272E-01    1.1607625891E+01
   17800    1.1416992783E+00    4.3989181538E-01    1.1623492833E+01
   17900    1.1437987526E+00    4.4285617024E-01    1.1639411132E+01
   18000    1.1458625485E+00    4.4592429736E-01    1.1655381763E+01
   18100    1.1478899479E+00    4.4910118237E-01    1.1671405724E+01
   18200    1.1498803264E+00    4.5239196954E-01    1.1687484042E+01
   18300    1.1518331612E+00    4.5580196502E-01    1.1703617769E+01
   18400    1.1537480389E+00    4.5933664056E-01    1.1719807982E+01
   18500    1.1556246646E+00    4.6300163758E-01    1.1736055781E+01
   18600    1.1574628698E+00    4.6680277174E-01    1.1752362292E+01
   18700    1.1592626221E+00    4.7074603804E-01    1.1768728660E+01
   18800    1.1610240337E+00    4.7483761661E-01    1.1785156054E+01
   18900    1.1627473710E+00    4.7908387912E-01    1.1801645663E+01
   19000    1.1644330645E+00    4.8349139612E-01    1.1818198696E+01
   19100    1.1660817182E+00    4.8806694524E-01    1.1834816381E+01
   19200    1.1676941200E+00    4.9281752056E-01    1.1851499965E+01
   19300    1.1692712524E+00    4.9775034312E-01    1.1868250712E+01
   19400    1.1708143024E+00    5.0287287290E-01    1.1885069901E+01
   19500    1.1723246735E+00    5.0819282241E-01    1.1901958828E+01
   19600    1.1738039964E+00    5.1371817204E-01    1.1918918803E+01
   19700    1.1752541417E+00    5.1945718764E-01    1.1935951148E+01
   19800    1.1766772317E+00    5.2541844034E-01    1.1953057200E+01
   19900    1.1780756545E+00    5.3161082914E-01    1.1970238305E+01
