 sig=    1.000000000000000     
 dt=   1.0000000000000001E-009
 steps=      1000000
 x0=   0.1400000000000000         1.396200000000000      
    9.593700000000000     
 u=    50000.00000000000     
 v_perp=    400000.0000000000     
 
istep         r       z        zeta
     100    8.8441805009E-01    1.8502054335E-01    9.5991029414E+00
     200    8.8460371591E-01    1.8587771160E-01    9.6046088763E+00
     300    8.8479354637E-01    1.8674020658E-01    9.6101635002E+00
     400    8.8498763147E-01    1.8760801370E-01    9.6157668383E+00
     500    8.8518606182E-01    1.8848111765E-01    9.6214189133E+00
     600    8.8538892873E-01    1.8935950240E-01    9.6271197455E+00
     700    8.8559632412E-01    1.9024315121E-01    9.6328693529E+00
     800    8.8580834056E-01    1.9113204660E-01    9.6386677508E+00
     900    8.8602507129E-01    1.9202617037E-01    9.6445149518E+00
    1000    8.8624661018E-01    1.9292550355E-01    9.6504109659E+00
    1100    8.8647305179E-01    1.9383002639E-01    9.6563558007E+00
    1200    8.8670449132E-01    1.9473971840E-01    9.6623494605E+00
    1300    8.8694102464E-01    1.9565455827E-01    9.6683919473E+00
    1400    8.8718274832E-01    1.9657452393E-01    9.6744832600E+00
    1500    8.8742975961E-01    1.9749959247E-01    9.6806233946E+00
    1600    8.8768215644E-01    1.9842974017E-01    9.6868123442E+00
    1700    8.8794003747E-01    1.9936494248E-01    9.6930500988E+00
    1800    8.8820350208E-01    2.0030517403E-01    9.6993366456E+00
    1900    8.8847265037E-01    2.0125040857E-01    9.7056719685E+00
    2000    8.8874758321E-01    2.0220061899E-01    9.7120560484E+00
    2100    8.8902840222E-01    2.0315577730E-01    9.7184888629E+00
    2200    8.8931520981E-01    2.0411585464E-01    9.7249703866E+00
    2300    8.8960810917E-01    2.0508082124E-01    9.7315005906E+00
    2400    8.8990720434E-01    2.0605064640E-01    9.7380794430E+00
    2500    8.9021260019E-01    2.0702529852E-01    9.7447069084E+00
    2600    8.9052440244E-01    2.0800474504E-01    9.7513829481E+00
    2700    8.9084271770E-01    2.0898895245E-01    9.7581075200E+00
    2800    8.9116765348E-01    2.0997788627E-01    9.7648805788E+00
    2900    8.9149931826E-01    2.1097151104E-01    9.7717020755E+00
    3000    8.9183782142E-01    2.1196979031E-01    9.7785719578E+00
    3100    8.9218327336E-01    2.1297268660E-01    9.7854901699E+00
