 sig=    1.000000000000000     
 dt=   1.0000000000000001E-009
 steps=      1000000
 x0=   0.1400000000000000         1.396200000000000      
    9.593700000000000     
 u=    50000.00000000000     
 v_perp=    900000.0000000000     
 
istep         r       z        zeta
     100    8.8473052377E-01    1.8581999135E-01    9.5991806890E+00
     200    8.8523499268E-01    1.8750821164E-01    9.6049627573E+00
     300    8.8574704419E-01    1.8922546496E-01    9.6109930867E+00
     400    8.8626701975E-01    1.9097179240E-01    9.6172726736E+00
     500    8.8679528331E-01    1.9274723038E-01    9.6238024998E+00
     600    8.8733222131E-01    1.9455181031E-01    9.6305835316E+00
     700    8.8787824275E-01    1.9638555833E-01    9.6376167177E+00
     800    8.8843377913E-01    1.9824849493E-01    9.6449029882E+00
     900    8.8899928450E-01    2.0014063464E-01    9.6524432525E+00
    1000    8.8957523547E-01    2.0206198569E-01    9.6602383980E+00
    1100    8.9016213124E-01    2.0401254962E-01    9.6682892880E+00
    1200    8.9076049370E-01    2.0599232092E-01    9.6765967605E+00
    1300    8.9137086749E-01    2.0800128664E-01    9.6851616256E+00
    1400    8.9199382016E-01    2.1003942599E-01    9.6939846644E+00
    1500    8.9262994236E-01    2.1210670996E-01    9.7030666269E+00
    1600    8.9327984811E-01    2.1420310087E-01    9.7124082299E+00
    1700    8.9394417514E-01    2.1632855198E-01    9.7220101559E+00
    1800    8.9462358528E-01    2.1848300703E-01    9.7318730504E+00
    1900    8.9531876501E-01    2.2066639983E-01    9.7419975208E+00
    2000    8.9603042611E-01    2.2287865375E-01    9.7523841347E+00
    2100    8.9675930638E-01    2.2511968131E-01    9.7630334177E+00
    2200    8.9750617052E-01    2.2738938364E-01    9.7739458527E+00
    2300    8.9827181122E-01    2.2968764998E-01    9.7851218777E+00
    2400    8.9905705029E-01    2.3201435718E-01    9.7965618851E+00
    2500    8.9986274004E-01    2.3436936902E-01    9.8082662200E+00
    2600    9.0068976489E-01    2.3675253499E-01    9.8202351795E+00
    2700    9.0153904181E-01    2.3916369563E-01    9.8324690118E+00
    2800    9.0241152303E-01    2.4160267643E-01    9.8449679150E+00
    2900    9.0330824379E-01    2.4406909308E-01    9.8577320444E+00
    3000    9.0422941142E-01    2.4656614003E-01    9.8707613801E+00
    3100    9.0517334203E-01    2.4910433798E-01    9.8840556373E+00
    3200    9.0613780941E-01    2.5169521064E-01    9.8976145340E+00
    3300    9.0712012075E-01    2.5435083482E-01    9.9114378346E+00
    3400    9.0811707751E-01    2.5708389923E-01    9.9255253790E+00
    3500    9.0912493242E-01    2.5990778234E-01    9.9398771140E+00
    3600    9.1013934165E-01    2.6283665133E-01    9.9544931287E+00
    3700    9.1115531087E-01    2.6588558430E-01    9.9693736937E+00
    3800    9.1216713396E-01    2.6907071857E-01    9.9845193045E+00
    3900    9.1316832266E-01    2.7240942831E-01    9.9999307316E+00
    4000    9.1415152530E-01    2.7592053581E-01    1.0015609076E+01
    4100    9.1510843238E-01    2.7962456145E-01    1.0031555834E+01
    4200    9.1602966621E-01    2.8354401895E-01    1.0047772973E+01
    4300    9.1690465145E-01    2.8770376391E-01    1.0064263018E+01
    4400    9.1772146254E-01    2.9213140588E-01    1.0081029154E+01
    4500    9.1846664321E-01    2.9685779659E-01    1.0098075353E+01
    4600    9.1912499230E-01    3.0191761042E-01    1.0115406516E+01
    4700    9.1967930841E-01    3.0735003692E-01    1.0133028657E+01
    4800    9.2011008466E-01    3.1319961095E-01    1.0150949113E+01
    4900    9.2039514250E-01    3.1951721203E-01    1.0169176811E+01
    5000    9.2050919084E-01    3.2636127364E-01    1.0187722588E+01
    5100    9.2042329430E-01    3.3379925359E-01    1.0206599592E+01
    5200    9.2010423010E-01    3.4190943112E-01    1.0225823774E+01
    5300    9.1951371007E-01    3.5078311453E-01    1.0245414501E+01
    5400    9.1860743979E-01    3.6052736625E-01    1.0265395334E+01
    5500    9.1733398423E-01    3.7126838259E-01    1.0285795001E+01
    5600    9.1563340887E-01    3.8315570207E-01    1.0306648655E+01
    5700    9.1343567119E-01    3.9636746216E-01    1.0327999479E+01
    5800    9.1065875672E-01    4.1111697530E-01    1.0349900794E+01
    5900    9.0720660094E-01    4.2766094605E-01    1.0372418834E+01
    6000    9.0296694013E-01    4.4630968328E-01    1.0395636457E+01
    6100    8.9780944506E-01    4.6743962927E-01    1.0419658179E+01
    6200    8.9158491555E-01    4.9150833336E-01    1.0444617114E+01
    6300    8.8412715323E-01    5.1907142725E-01    1.0470684655E+01
    6400    8.7526077289E-01    5.5079976482E-01    1.0498084230E+01
    6500    8.6482137581E-01    5.8749176949E-01    1.0527111055E+01
    6600    8.5270042839E-01    6.3006946800E-01    1.0558160791E+01
    6700    8.3893760973E-01    6.7953380429E-01    1.0591771168E+01
    6800    8.2389923999E-01    7.3683230885E-01    1.0628681684E+01
    6900    8.0859618341E-01    8.0256231515E-01    1.0669916022E+01
    7000    7.9517263745E-01    8.7642602746E-01    1.0716886992E+01
    7100    7.8742929033E-01    9.5647657652E-01    1.0771513373E+01
    7200    7.9075577745E-01    1.0386263349E+00    1.0836343755E+01
    7300    8.1017763594E-01    1.1175336810E+00    1.0914797569E+01
    7400    8.4564914627E-01    1.1899283666E+00    1.1011986014E+01
    7500    8.8693360209E-01    1.2600496490E+00    1.1136837279E+01
    7600    9.1500551179E-01    1.3457572339E+00    1.1304384975E+01
    7700    9.2025432475E-01    1.4808990708E+00    1.1530184464E+01
    7800    9.4217183927E-01    1.6879861749E+00    1.1817915052E+01
    7900    1.0528075757E+00    2.0157715273E+00    1.2178759106E+01
    8000    1.2658279965E+00    3.1903997494E+00    1.2589560353E+01
    8100   -2.0541604067E+00    1.3226654859E+01    1.2439474448E+01
    8200    1.3289963689E+00   -1.1386157039E-01    1.3526216071E+01
