 sig=    1.000000000000000     
 dt=   1.0000000000000001E-009
 steps=      1000000
 x0=   0.1400000000000000         1.396200000000000      
    9.593700000000000     
 u=    50000.00000000000     
 v_perp=    700000.0000000000     
 
istep         r       z        zeta
     100    8.8457643817E-01    1.8542639163E-01    9.5991423474E+00
     200    8.8492321442E-01    1.8670539294E-01    9.6047881742E+00
     300    8.8527543322E-01    1.8800168326E-01    9.6105836291E+00
     400    8.8563334234E-01    1.8931526373E-01    9.6165290828E+00
     500    8.8599719769E-01    1.9064613309E-01    9.6226248988E+00
     600    8.8636726327E-01    1.9199428760E-01    9.6288714330E+00
     700    8.8674381120E-01    1.9335972090E-01    9.6352690332E+00
     800    8.8712712164E-01    1.9474242389E-01    9.6418180383E+00
     900    8.8751748285E-01    1.9614238458E-01    9.6485187782E+00
    1000    8.8791519113E-01    1.9755958797E-01    9.6553715727E+00
    1100    8.8832055084E-01    1.9899401593E-01    9.6623767313E+00
    1200    8.8873387440E-01    2.0044564702E-01    9.6695345521E+00
    1300    8.8915548234E-01    2.0191445639E-01    9.6768453218E+00
    1400    8.8958570327E-01    2.0340041561E-01    9.6843093149E+00
    1500    8.9002487397E-01    2.0490349257E-01    9.6919267929E+00
    1600    8.9047333944E-01    2.0642365126E-01    9.6996980036E+00
    1700    8.9093145295E-01    2.0796085172E-01    9.7076231812E+00
    1800    8.9139957613E-01    2.0951504981E-01    9.7157025449E+00
    1900    8.9187807909E-01    2.1108619710E-01    9.7239362987E+00
    2000    8.9236734056E-01    2.1267424071E-01    9.7323246309E+00
    2100    8.9286774801E-01    2.1427912312E-01    9.7408677133E+00
    2200    8.9337969787E-01    2.1590078208E-01    9.7495657009E+00
    2300    8.9390359566E-01    2.1753915037E-01    9.7584187310E+00
    2400    8.9443985629E-01    2.1919415566E-01    9.7674269234E+00
    2500    8.9498890430E-01    2.2086572035E-01    9.7765903791E+00
    2600    8.9555117409E-01    2.2255376136E-01    9.7859091802E+00
    2700    8.9612711032E-01    2.2425818996E-01    9.7953833897E+00
    2800    8.9671716819E-01    2.2597891155E-01    9.8050130507E+00
    2900    8.9732181383E-01    2.2771582547E-01    9.8147981862E+00
    3000    8.9794152472E-01    2.2946882475E-01    9.8247387988E+00
    3100    8.9857679009E-01    2.3123779595E-01    9.8348348703E+00
    3200    8.9922811142E-01    2.3302261880E-01    9.8450863613E+00
    3300    8.9989600289E-01    2.3482316606E-01    9.8554932114E+00
    3400    9.0058099188E-01    2.3663930313E-01    9.8660553384E+00
    3500    9.0128361955E-01    2.3847088785E-01    9.8767726385E+00
    3600    9.0200444130E-01    2.4031777014E-01    9.8876449861E+00
    3700    9.0274402741E-01    2.4217979165E-01    9.8986722336E+00
    3800    9.0350296354E-01    2.4405678541E-01    9.9098542112E+00
    3900    9.0428185132E-01    2.4594857552E-01    9.9211907274E+00
    4000    9.0508130892E-01    2.4785497656E-01    9.9326815681E+00
    4100    9.0590197152E-01    2.4977579347E-01    9.9443264973E+00
