 sig=    1.000000000000000     
 dt=   1.0000000000000001E-009
 steps=      1000000
 x0=   0.1400000000000000         1.396200000000000      
    9.593700000000000     
 u=    50000.00000000000     
 v_perp=    200000.0000000000     
 
istep         r       z        zeta
     100    8.8436058345E-01    1.8487297509E-01    9.5990886456E+00
     200    8.8448804356E-01    1.8557679317E-01    9.6045438637E+00
     300    8.8461943731E-01    1.8628162552E-01    9.6100112620E+00
     400    8.8475478217E-01    1.8698745849E-01    9.6154908170E+00
     500    8.8489409560E-01    1.8769427828E-01    9.6209825051E+00
     600    8.8503739510E-01    1.8840207103E-01    9.6264863015E+00
     700    8.8518469813E-01    1.8911082271E-01    9.6320021812E+00
     800    8.8533602222E-01    1.8982051921E-01    9.6375301185E+00
     900    8.8549138487E-01    1.9053114630E-01    9.6430700868E+00
    1000    8.8565080364E-01    1.9124268961E-01    9.6486220591E+00
    1100    8.8581429610E-01    1.9195513468E-01    9.6541860079E+00
    1200    8.8598187988E-01    1.9266846692E-01    9.6597619048E+00
    1300    8.8615357263E-01    1.9338267164E-01    9.6653497209E+00
    1400    8.8632939205E-01    1.9409773400E-01    9.6709494268E+00
    1500    8.8650935593E-01    1.9481363908E-01    9.6765609921E+00
    1600    8.8669348207E-01    1.9553037180E-01    9.6821843863E+00
    1700    8.8688178836E-01    1.9624791701E-01    9.6878195778E+00
    1800    8.8707429279E-01    1.9696625939E-01    9.6934665346E+00
    1900    8.8727101337E-01    1.9768538353E-01    9.6991252242E+00
    2000    8.8747196824E-01    1.9840527389E-01    9.7047956133E+00
    2100    8.8767717562E-01    1.9912591481E-01    9.7104776679E+00
    2200    8.8788665382E-01    1.9984729048E-01    9.7161713537E+00
    2300    8.8810042125E-01    2.0056938501E-01    9.7218766354E+00
    2400    8.8831849642E-01    2.0129218234E-01    9.7275934775E+00
    2500    8.8854089798E-01    2.0201566631E-01    9.7333218436E+00
    2600    8.8876764467E-01    2.0273982061E-01    9.7390616967E+00
    2700    8.8899875536E-01    2.0346462881E-01    9.7448129994E+00
    2800    8.8923424907E-01    2.0419007434E-01    9.7505757135E+00
    2900    8.8947414492E-01    2.0491614049E-01    9.7563498003E+00
    3000    8.8971846219E-01    2.0564281044E-01    9.7621352205E+00
    3100    8.8996722030E-01    2.0637006719E-01    9.7679319342E+00
    3200    8.9022043881E-01    2.0709789363E-01    9.7737399009E+00
    3300    8.9047813745E-01    2.0782627248E-01    9.7795590795E+00
    3400    8.9074033610E-01    2.0855518634E-01    9.7853894283E+00
    3500    8.9100705478E-01    2.0928461764E-01    9.7912309052E+00
    3600    8.9127831371E-01    2.1001454867E-01    9.7970834674E+00
    3700    8.9155413325E-01    2.1074496156E-01    9.8029470713E+00
    3800    8.9183453395E-01    2.1147583828E-01    9.8088216732E+00
    3900    8.9211953652E-01    2.1220716066E-01    9.8147072285E+00
    4000    8.9240916187E-01    2.1293891035E-01    9.8206036922E+00
    4100    8.9270343107E-01    2.1367106883E-01    9.8265110186E+00
    4200    8.9300236539E-01    2.1440361744E-01    9.8324291616E+00
    4300    8.9330598627E-01    2.1513653731E-01    9.8383580745E+00
    4400    8.9361431534E-01    2.1586980943E-01    9.8442977101E+00
    4500    8.9392737444E-01    2.1660341459E-01    9.8502480206E+00
    4600    8.9424518557E-01    2.1733733342E-01    9.8562089576E+00
    4700    8.9456777095E-01    2.1807154634E-01    9.8621804725E+00
    4800    8.9489515297E-01    2.1880603362E-01    9.8681625158E+00
    4900    8.9522735421E-01    2.1954077530E-01    9.8741550377E+00
    5000    8.9556439747E-01    2.2027575125E-01    9.8801579878E+00
    5100    8.9590630572E-01    2.2101094114E-01    9.8861713154E+00
    5200    8.9625310212E-01    2.2174632444E-01    9.8921949689E+00
    5300    8.9660481003E-01    2.2248188040E-01    9.8982288966E+00
    5400    8.9696145299E-01    2.2321758808E-01    9.9042730462E+00
    5500    8.9732305475E-01    2.2395342633E-01    9.9103273648E+00
    5600    8.9768963921E-01    2.2468937378E-01    9.9163917992E+00
    5700    8.9806123047E-01    2.2542540883E-01    9.9224662956E+00
    5800    8.9843785281E-01    2.2616150969E-01    9.9285507997E+00
    5900    8.9881953069E-01    2.2689765432E-01    9.9346452570E+00
    6000    8.9920628874E-01    2.2763382045E-01    9.9407496122E+00
    6100    8.9959815174E-01    2.2836998560E-01    9.9468638099E+00
    6200    8.9999514467E-01    2.2910612703E-01    9.9529877939E+00
    6300    9.0039729265E-01    2.2984222179E-01    9.9591215079E+00
    6400    9.0080462094E-01    2.3057824665E-01    9.9652648949E+00
    6500    9.0121715497E-01    2.3131417818E-01    9.9714178978E+00
    6600    9.0163492031E-01    2.3204999266E-01    9.9775804587E+00
    6700    9.0205794266E-01    2.3278566615E-01    9.9837525195E+00
    6800    9.0248624787E-01    2.3352117444E-01    9.9899340218E+00
    6900    9.0291986187E-01    2.3425649306E-01    9.9961249066E+00
    7000    9.0335881076E-01    2.3499159730E-01    1.0002325115E+01
    7100    9.0380312070E-01    2.3572646216E-01    1.0008534586E+01
    7200    9.0425281800E-01    2.3646106238E-01    1.0014753261E+01
    7300    9.0470792901E-01    2.3719537245E-01    1.0020981079E+01
    7400    9.0516848019E-01    2.3792936658E-01    1.0027217979E+01
    7500    9.0563449809E-01    2.3866301869E-01    1.0033463899E+01
    7600    9.0610600930E-01    2.3939630245E-01    1.0039718780E+01
    7700    9.0658304047E-01    2.4012919123E-01    1.0045982557E+01
    7800    9.0706561831E-01    2.4086165812E-01    1.0052255170E+01
    7900    9.0755376954E-01    2.4159367595E-01    1.0058536556E+01
    8000    9.0804752093E-01    2.4232521724E-01    1.0064826652E+01
    8100    9.0854689925E-01    2.4305625424E-01    1.0071125394E+01
    8200    9.0905193128E-01    2.4378675889E-01    1.0077432719E+01
    8300    9.0956264379E-01    2.4451670288E-01    1.0083748563E+01
    8400    9.1007906354E-01    2.4524605756E-01    1.0090072862E+01
    8500    9.1060121723E-01    2.4597479403E-01    1.0096405552E+01
    8600    9.1112913155E-01    2.4670288307E-01    1.0102746567E+01
    8700    9.1166283312E-01    2.4743029517E-01    1.0109095843E+01
    8800    9.1220234849E-01    2.4815700054E-01    1.0115453314E+01
    8900    9.1274770414E-01    2.4888296908E-01    1.0121818914E+01
    9000    9.1329892644E-01    2.4960817039E-01    1.0128192579E+01
    9100    9.1385604168E-01    2.5033257379E-01    1.0134574240E+01
    9200    9.1441907600E-01    2.5105614828E-01    1.0140963833E+01
    9300    9.1498805544E-01    2.5177886258E-01    1.0147361290E+01
    9400    9.1556300588E-01    2.5250068512E-01    1.0153766544E+01
    9500    9.1614395303E-01    2.5322158401E-01    1.0160179528E+01
    9600    9.1673092245E-01    2.5394152708E-01    1.0166600175E+01
    9700    9.1732393951E-01    2.5466048186E-01    1.0173028416E+01
    9800    9.1792302938E-01    2.5537841558E-01    1.0179464185E+01
    9900    9.1852821700E-01    2.5609529519E-01    1.0185907412E+01
   10000    9.1913952713E-01    2.5681108734E-01    1.0192358029E+01
   10100    9.1975698424E-01    2.5752575837E-01    1.0198815967E+01
   10200    9.2038061257E-01    2.5823927437E-01    1.0205281159E+01
   10300    9.2101043611E-01    2.5895160110E-01    1.0211753534E+01
   10400    9.2164647854E-01    2.5966270405E-01    1.0218233023E+01
   10500    9.2228876326E-01    2.6037254845E-01    1.0224719557E+01
   10600    9.2293731337E-01    2.6108109919E-01    1.0231213066E+01
   10700    9.2359215164E-01    2.6178832094E-01    1.0237713480E+01
   10800    9.2425330052E-01    2.6249417806E-01    1.0244220730E+01
   10900    9.2492078208E-01    2.6319863463E-01    1.0250734744E+01
   11000    9.2559461807E-01    2.6390165447E-01    1.0257255453E+01
   11100    9.2627482985E-01    2.6460320113E-01    1.0263782785E+01
   11200    9.2696143838E-01    2.6530323788E-01    1.0270316671E+01
   11300    9.2765446424E-01    2.6600172774E-01    1.0276857038E+01
   11400    9.2835392759E-01    2.6669863346E-01    1.0283403816E+01
   11500    9.2905984816E-01    2.6739391754E-01    1.0289956934E+01
   11600    9.2977224527E-01    2.6808754221E-01    1.0296516319E+01
   11700    9.3049113775E-01    2.6877946948E-01    1.0303081901E+01
   11800    9.3121654399E-01    2.6946966109E-01    1.0309653608E+01
   11900    9.3194848190E-01    2.7015807854E-01    1.0316231367E+01
   12000    9.3268696892E-01    2.7084468310E-01    1.0322815107E+01
   12100    9.3343202197E-01    2.7152943580E-01    1.0329404755E+01
   12200    9.3418365748E-01    2.7221229745E-01    1.0336000239E+01
   12300    9.3494189134E-01    2.7289322861E-01    1.0342601487E+01
   12400    9.3570673893E-01    2.7357218966E-01    1.0349208425E+01
   12500    9.3647821507E-01    2.7424914073E-01    1.0355820982E+01
   12600    9.3725633404E-01    2.7492404175E-01    1.0362439084E+01
   12700    9.3804110955E-01    2.7559685245E-01    1.0369062659E+01
   12800    9.3883255474E-01    2.7626753235E-01    1.0375691633E+01
   12900    9.3963068216E-01    2.7693604079E-01    1.0382325934E+01
   13000    9.4043550377E-01    2.7760233690E-01    1.0388965487E+01
   13100    9.4124703094E-01    2.7826637965E-01    1.0395610220E+01
   13200    9.4206527440E-01    2.7892812779E-01    1.0402260059E+01
   13300    9.4289024428E-01    2.7958753995E-01    1.0408914931E+01
   13400    9.4372195008E-01    2.8024457454E-01    1.0415574761E+01
   13500    9.4456040064E-01    2.8089918986E-01    1.0422239477E+01
   13600    9.4540560417E-01    2.8155134400E-01    1.0428909005E+01
   13700    9.4625756824E-01    2.8220099495E-01    1.0435583271E+01
   13800    9.4711629971E-01    2.8284810052E-01    1.0442262200E+01
   13900    9.4798180481E-01    2.8349261840E-01    1.0448945719E+01
   14000    9.4885408908E-01    2.8413450615E-01    1.0455633755E+01
   14100    9.4973315736E-01    2.8477372118E-01    1.0462326232E+01
   14200    9.5061901382E-01    2.8541022081E-01    1.0469023078E+01
   14300    9.5151166191E-01    2.8604396225E-01    1.0475724217E+01
   14400    9.5241110438E-01    2.8667490256E-01    1.0482429576E+01
   14500    9.5331734327E-01    2.8730299876E-01    1.0489139080E+01
   14600    9.5423037991E-01    2.8792820773E-01    1.0495852657E+01
   14700    9.5515021488E-01    2.8855048629E-01    1.0502570230E+01
   14800    9.5607684806E-01    2.8916979117E-01    1.0509291727E+01
   14900    9.5701027857E-01    2.8978607903E-01    1.0516017072E+01
   15000    9.5795050480E-01    2.9039930647E-01    1.0522746193E+01
   15100    9.5889752440E-01    2.9100943002E-01    1.0529479014E+01
   15200    9.5985133427E-01    2.9161640616E-01    1.0536215463E+01
   15300    9.6081193054E-01    2.9222019133E-01    1.0542955464E+01
   15400    9.6177930859E-01    2.9282074194E-01    1.0549698943E+01
   15500    9.6275346305E-01    2.9341801434E-01    1.0556445827E+01
   15600    9.6373438776E-01    2.9401196490E-01    1.0563196043E+01
   15700    9.6472207582E-01    2.9460254993E-01    1.0569949515E+01
   15800    9.6571651954E-01    2.9518972575E-01    1.0576706170E+01
   15900    9.6671771045E-01    2.9577344869E-01    1.0583465935E+01
   16000    9.6772563931E-01    2.9635367505E-01    1.0590228736E+01
   16100    9.6874029610E-01    2.9693036117E-01    1.0596994500E+01
   16200    9.6976167002E-01    2.9750346341E-01    1.0603763152E+01
   16300    9.7078974948E-01    2.9807293813E-01    1.0610534620E+01
   16400    9.7182452210E-01    2.9863874175E-01    1.0617308830E+01
   16500    9.7286597472E-01    2.9920083071E-01    1.0624085710E+01
   16600    9.7391409339E-01    2.9975916151E-01    1.0630865187E+01
   16700    9.7496886337E-01    3.0031369071E-01    1.0637647187E+01
   16800    9.7603026912E-01    3.0086437491E-01    1.0644431637E+01
   16900    9.7709829432E-01    3.0141117080E-01    1.0651218467E+01
   17000    9.7817292185E-01    3.0195403513E-01    1.0658007602E+01
   17100    9.7925413382E-01    3.0249292474E-01    1.0664798971E+01
   17200    9.8034191151E-01    3.0302779656E-01    1.0671592503E+01
   17300    9.8143623544E-01    3.0355860761E-01    1.0678388124E+01
   17400    9.8253708533E-01    3.0408531502E-01    1.0685185763E+01
   17500    9.8364444012E-01    3.0460787604E-01    1.0691985350E+01
   17600    9.8475827795E-01    3.0512624801E-01    1.0698786812E+01
   17700    9.8587857618E-01    3.0564038841E-01    1.0705590079E+01
   17800    9.8700531138E-01    3.0615025485E-01    1.0712395080E+01
   17900    9.8813845934E-01    3.0665580508E-01    1.0719201744E+01
   18000    9.8927799509E-01    3.0715699699E-01    1.0726010001E+01
   18100    9.9042389285E-01    3.0765378860E-01    1.0732819781E+01
   18200    9.9157612608E-01    3.0814613813E-01    1.0739631014E+01
   18300    9.9273466749E-01    3.0863400392E-01    1.0746443630E+01
   18400    9.9389948898E-01    3.0911734449E-01    1.0753257560E+01
   18500    9.9507056172E-01    3.0959611855E-01    1.0760072736E+01
   18600    9.9624785611E-01    3.1007028497E-01    1.0766889088E+01
   18700    9.9743134180E-01    3.1053980283E-01    1.0773706547E+01
   18800    9.9862098767E-01    3.1100463136E-01    1.0780525047E+01
   18900    9.9981676187E-01    3.1146473003E-01    1.0787344518E+01
   19000    1.0010186318E+00    3.1192005849E-01    1.0794164893E+01
   19100    1.0022265642E+00    3.1237057659E-01    1.0800986105E+01
   19200    1.0034405249E+00    3.1281624442E-01    1.0807808088E+01
   19300    1.0046604791E+00    3.1325702226E-01    1.0814630774E+01
   19400    1.0058863915E+00    3.1369287062E-01    1.0821454097E+01
   19500    1.0071182256E+00    3.1412375025E-01    1.0828277991E+01
   19600    1.0083559448E+00    3.1454962210E-01    1.0835102391E+01
   19700    1.0095995112E+00    3.1497044738E-01    1.0841927232E+01
   19800    1.0108488867E+00    3.1538618754E-01    1.0848752449E+01
   19900    1.0121040322E+00    3.1579680425E-01    1.0855577977E+01
   20000    1.0133649081E+00    3.1620225945E-01    1.0862403753E+01
   20100    1.0146314741E+00    3.1660251532E-01    1.0869229712E+01
   20200    1.0159036891E+00    3.1699753428E-01    1.0876055792E+01
   20300    1.0171815115E+00    3.1738727902E-01    1.0882881929E+01
   20400    1.0184648992E+00    3.1777171249E-01    1.0889708062E+01
   20500    1.0197538091E+00    3.1815079789E-01    1.0896534128E+01
   20600    1.0210481977E+00    3.1852449868E-01    1.0903360065E+01
   20700    1.0223480210E+00    3.1889277860E-01    1.0910185813E+01
   20800    1.0236532342E+00    3.1925560163E-01    1.0917011310E+01
   20900    1.0249637919E+00    3.1961293206E-01    1.0923836497E+01
   21000    1.0262796482E+00    3.1996473439E-01    1.0930661313E+01
   21100    1.0276007568E+00    3.2031097345E-01    1.0937485700E+01
   21200    1.0289270704E+00    3.2065161430E-01    1.0944309597E+01
   21300    1.0302585417E+00    3.2098662228E-01    1.0951132948E+01
   21400    1.0315951223E+00    3.2131596301E-01    1.0957955694E+01
   21500    1.0329367638E+00    3.2163960237E-01    1.0964777776E+01
   21600    1.0342834168E+00    3.2195750651E-01    1.0971599140E+01
   21700    1.0356350318E+00    3.2226964188E-01    1.0978419727E+01
   21800    1.0369915586E+00    3.2257597515E-01    1.0985239482E+01
   21900    1.0383529466E+00    3.2287647330E-01    1.0992058350E+01
   22000    1.0397191447E+00    3.2317110355E-01    1.0998876275E+01
