 sig=    1.000000000000000     
 dt=   1.0000000000000001E-009
 steps=      1000000
 x0=   0.1400000000000000         1.396200000000000      
    9.593700000000000     
 u=    50000.00000000000     
 v_perp=    1000000.000000000     
 
istep         r       z        zeta
     100    8.8482224380E-01    1.8605371448E-01    9.5992035148E+00
     200    8.8542102546E-01    1.8798498738E-01    9.6050667508E+00
     300    8.8602908047E-01    1.8995233353E-01    9.6112371598E+00
     400    8.8664677776E-01    1.9195582881E-01    9.6177162421E+00
     500    8.8727452016E-01    1.9399554237E-01    9.6245054760E+00
     600    8.8791274445E-01    1.9607153625E-01    9.6316063165E+00
     700    8.8856192144E-01    1.9818386494E-01    9.6390201926E+00
     800    8.8922255599E-01    2.0033257494E-01    9.6467485047E+00
     900    8.8989518710E-01    2.0251770423E-01    9.6547926226E+00
    1000    8.9058038787E-01    2.0473928182E-01    9.6631538826E+00
    1100    8.9127876568E-01    2.0699732716E-01    9.6718335848E+00
    1200    8.9199096227E-01    2.0929184963E-01    9.6808329903E+00
    1300    8.9271765393E-01    2.1162284792E-01    9.6901533183E+00
    1400    8.9345955178E-01    2.1399030951E-01    9.6997957434E+00
    1500    8.9421740213E-01    2.1639421001E-01    9.7097613925E+00
    1600    8.9499198703E-01    2.1883451255E-01    9.7200513418E+00
    1700    8.9578412487E-01    2.2131116717E-01    9.7306666145E+00
    1800    8.9659467130E-01    2.2382411014E-01    9.7416081771E+00
    1900    8.9742452025E-01    2.2637326332E-01    9.7528769376E+00
    2000    8.9827460525E-01    2.2895853338E-01    9.7644737423E+00
    2100    8.9914590103E-01    2.3157981093E-01    9.7763993740E+00
    2200    9.0003942494E-01    2.3423697227E-01    9.7886545493E+00
    2300    9.0095623231E-01    2.3692991284E-01    9.8012399156E+00
    2400    9.0189734559E-01    2.3965889371E-01    9.8141560358E+00
    2500    9.0286108470E-01    2.4243711314E-01    9.8274029253E+00
    2600    9.0384362465E-01    2.4528593599E-01    9.8409803249E+00
    2700    9.0484022668E-01    2.4822800257E-01    9.8548880350E+00
    2800    9.0584514414E-01    2.5128734506E-01    9.8691259753E+00
    2900    9.0685150614E-01    2.5448961241E-01    9.8836942515E+00
    3000    9.0785118246E-01    2.5786237261E-01    9.8985932327E+00
    3100    9.0883462449E-01    2.6143550448E-01    9.9138236394E+00
    3200    9.0979067580E-01    2.6524169364E-01    9.9293866473E+00
    3300    9.1070634409E-01    2.6931705222E-01    9.9452840085E+00
    3400    9.1156652429E-01    2.7370188786E-01    9.9615181957E+00
    3500    9.1235365961E-01    2.7844165564E-01    9.9780925753E+00
    3600    9.1304732336E-01    2.8358813790E-01    9.9950116178E+00
    3700    9.1362369894E-01    2.8920091177E-01    1.0012281156E+01
    3800    9.1405492784E-01    2.9534918489E-01    1.0029908708E+01
    3900    9.1430828486E-01    3.0211410815E-01    1.0047903878E+01
    4000    9.1434512502E-01    3.0959171336E-01    1.0066278873E+01
    4100    9.1411952565E-01    3.1789667940E-01    1.0085049158E+01
    4200    9.1357651749E-01    3.2716720850E-01    1.0104234310E+01
    4300    9.1264975608E-01    3.3757140767E-01    1.0123859135E+01
    4400    9.1125842471E-01    3.4931573447E-01    1.0143955156E+01
    4500    9.0930307278E-01    3.6265630829E-01    1.0164562609E+01
    4600    9.0665996986E-01    3.7791424840E-01    1.0185733172E+01
    4700    9.0317337931E-01    3.9549673854E-01    1.0207533765E+01
    4800    8.9864491311E-01    4.1592632636E-01    1.0230051941E+01
    4900    8.9281881677E-01    4.3988216821E-01    1.0253403722E+01
