 sig=   -1.000000000000000     
 dt=   4.0000000000000001E-010
 steps=       200000
 x0=   0.1949999928474426         1.396199941635132      
    8.123700141906738     
 u=    100000.0000000000     
 v_perp=    430000.0000000000     
 
istep         r       z        zeta
   36400    1.0184487145E+00    2.2485509704E-01    9.8306356434E+00
   36800    1.0190056550E+00    2.2652200323E-01    9.8553664445E+00
   37200    1.0196518909E+00    2.2818927621E-01    9.8801850116E+00
   37600    1.0203886527E+00    2.2985519143E-01    9.9050880088E+00
   38000    1.0212171956E+00    2.3151795621E-01    9.9300720437E+00
   38400    1.0221387951E+00    2.3317570654E-01    9.9551336719E+00
   38800    1.0231547415E+00    2.3482650442E-01    9.9802694022E+00
   39200    1.0242663325E+00    2.3646833579E-01    1.0005475701E+01
   39600    1.0254748662E+00    2.3809910917E-01    1.0030748999E+01
   40000    1.0267816316E+00    2.3971665499E-01    1.0056085692E+01
   40400    1.0281878992E+00    2.4131872564E-01    1.0081482147E+01
   40800    1.0296949106E+00    2.4290299635E-01    1.0106934710E+01
   41200    1.0313038677E+00    2.4446706676E-01    1.0132439703E+01
   41600    1.0330159207E+00    2.4600846335E-01    1.0157993436E+01
   42000    1.0348321568E+00    2.4752464258E-01    1.0183592204E+01
   42400    1.0367535880E+00    2.4901299476E-01    1.0209232296E+01
   42800    1.0387811392E+00    2.5047084866E-01    1.0234909995E+01
   43200    1.0409156359E+00    2.5189547675E-01    1.0260621586E+01
   43600    1.0431577928E+00    2.5328410108E-01    1.0286363355E+01
   44000    1.0455082022E+00    2.5463389975E-01    1.0312131598E+01
   44400    1.0479673233E+00    2.5594201378E-01    1.0337922621E+01
   44800    1.0505354715E+00    2.5720555458E-01    1.0363732748E+01
   45200    1.0532128088E+00    2.5842161163E-01    1.0389558320E+01
   45600    1.0559993352E+00    2.5958726060E-01    1.0415395704E+01
   46000    1.0588948804E+00    2.6069957163E-01    1.0441241295E+01
   46400    1.0618990968E+00    2.6175561774E-01    1.0467091523E+01
   46800    1.0650114535E+00    2.6275248337E-01    1.0492942854E+01
   47200    1.0682312313E+00    2.6368727286E-01    1.0518791796E+01
   47600    1.0715575188E+00    2.6455711881E-01    1.0544634904E+01
   48000    1.0749892100E+00    2.6535919030E-01    1.0570468788E+01
   48400    1.0785250027E+00    2.6609070073E-01    1.0596290109E+01
   48800    1.0821633981E+00    2.6674891537E-01    1.0622095595E+01
   49200    1.0859027024E+00    2.6733115835E-01    1.0647882035E+01
   49600    1.0897410285E+00    2.6783481915E-01    1.0673646292E+01
   50000    1.0936762999E+00    2.6825735838E-01    1.0699385302E+01
   50400    1.0977062549E+00    2.6859631292E-01    1.0725096082E+01
   50800    1.1018284528E+00    2.6884930022E-01    1.0750775734E+01
   51200    1.1060402801E+00    2.6901402182E-01    1.0776421448E+01
   51600    1.1103389584E+00    2.6908826603E-01    1.0802030506E+01
   52000    1.1147215529E+00    2.6906990978E-01    1.0827600288E+01
   52400    1.1191849808E+00    2.6895691958E-01    1.0853128276E+01
   52800    1.1237260215E+00    2.6874735181E-01    1.0878612055E+01
   53200    1.1283413258E+00    2.6843935212E-01    1.0904049317E+01
   53600    1.1330274261E+00    2.6803115432E-01    1.0929437869E+01
   54000    1.1377807468E+00    2.6752107859E-01    1.0954775626E+01
   54400    1.1425976135E+00    2.6690752922E-01    1.0980060624E+01
